iter	Logloss
0	0.6525913825
1	0.616938427
2	0.5807160935
3	0.5507676407
4	0.5275494734
5	0.5065478945
6	0.4883488203
7	0.4692069474
8	0.4520123093
9	0.4375367569
10	0.4233579309
11	0.4101070964
12	0.4003156388
13	0.3931971111
14	0.3847770579
15	0.376041581
16	0.3698771108
17	0.363193356
18	0.3576833966
19	0.351785671
20	0.3468448441
21	0.3425006683
22	0.3388203901
23	0.334970334
24	0.3314980926
25	0.3285622552
26	0.3259453482
27	0.322815698
28	0.3200664544
29	0.3178729395
30	0.3157489499
31	0.314323239
32	0.3131508129
33	0.3113755767
34	0.3101508646
35	0.3088619312
36	0.3072242345
37	0.3052414872
38	0.3036000332
39	0.30197971
40	0.3004505049
41	0.29922619
42	0.2982020502
43	0.296969623
44	0.2956608625
45	0.2943893045
46	0.2934530338
47	0.29232502
48	0.2912163125
49	0.2905069062
50	0.2896193963
51	0.2886172768
52	0.2876337106
53	0.2866307828
54	0.2856853326
55	0.2848194222
56	0.2832336206
57	0.2824815237
58	0.2816095196
59	0.2809939587
60	0.2801793831
61	0.2793975336
62	0.2788543379
63	0.2785292948
64	0.2779193597
65	0.2768295454
66	0.2750605632
67	0.274326957
68	0.2735766465
69	0.2726126922
70	0.2718708053
71	0.2714566771
72	0.2705895954
73	0.2699887487
74	0.2695796857
75	0.2691808126
76	0.2685026524
77	0.2679304977
78	0.2675542558
79	0.2674572157
80	0.2665949048
81	0.2658518999
82	0.2653548874
83	0.2647170329
84	0.2643103366
85	0.2631382445
86	0.262613457
87	0.2617114546
88	0.2610286113
89	0.2603720384
90	0.2598504695
91	0.2590801634
92	0.2585324026
93	0.2581898341
94	0.2577745279
95	0.2571636012
96	0.2565445026
97	0.256100432
98	0.2554910407
99	0.2549785873
100	0.2544074284
101	0.2541280586
102	0.2529398118
103	0.2522870171
104	0.2516735674
105	0.2511964239
106	0.2507326965
107	0.2499970123
108	0.2495472341
109	0.2491626156
110	0.2489577401
111	0.2480258935
112	0.2474699077
113	0.2471247316
114	0.2464971408
115	0.2462026554
116	0.2456226213
117	0.2450082459
118	0.2445105644
119	0.2442682086
120	0.2437126564
121	0.2432576013
122	0.2427031625
123	0.2420033233
124	0.2416364427
125	0.2415059371
126	0.2413179181
127	0.2409678852
128	0.2402877617
129	0.2399023533
130	0.2394576305
131	0.2388773418
132	0.2380188082
133	0.2376422646
134	0.236876139
135	0.2362381229
136	0.2360278466
137	0.235501438
138	0.2348544174
139	0.2340574692
140	0.2339669656
141	0.2330063979
142	0.2326765516
143	0.2323290386
144	0.2321895103
145	0.2315119008
146	0.2311580341
147	0.22980158
148	0.229267645
149	0.2290456915
150	0.2286596146
151	0.2282904984
152	0.2280754276
153	0.227421459
154	0.2264726684
155	0.2257604428
156	0.2251387125
157	0.2247845097
158	0.2245903504
159	0.2241789293
160	0.2235016745
161	0.2221677313
162	0.2219388529
163	0.2216528165
164	0.220927046
165	0.2207121619
166	0.2205951004
167	0.2203337278
168	0.2200396763
169	0.2199559123
170	0.2192406886
171	0.2189938661
172	0.2185519189
173	0.2178176802
174	0.2174369545
175	0.2164449254
176	0.2161931052
177	0.2161250265
178	0.215564425
179	0.2150183211
180	0.2145178653
181	0.2141493827
182	0.2138809813
183	0.2135894928
184	0.2134912571
185	0.2129292234
186	0.2123700133
187	0.2122531541
188	0.2121790046
189	0.211533538
190	0.2111556336
191	0.2110265055
192	0.2098760716
193	0.2096166786
194	0.209261712
195	0.2090299918
196	0.2087389228
197	0.2080463974
198	0.2079456045
199	0.2075920553
200	0.2070763507
201	0.2065664209
202	0.2054319616
203	0.205120813
204	0.2045267041
205	0.2038881104
206	0.2037655378
207	0.2036965079
208	0.2031147195
209	0.2023655943
210	0.2018925236
211	0.2018001383
212	0.2012780609
213	0.2008400934
214	0.200618482
215	0.1998829461
216	0.1990054016
217	0.1989347716
218	0.1988469562
219	0.1987536012
220	0.1986704524
221	0.1981935561
222	0.1980357279
223	0.1977874558
224	0.1967342979
225	0.1962166142
226	0.1958559139
227	0.1954373816
228	0.1947700473
229	0.1944655095
230	0.1943717806
231	0.1938115415
232	0.1931559801
233	0.1926535031
234	0.1925994819
235	0.1921408617
236	0.1915128073
237	0.1908552072
238	0.1902066018
239	0.1895856892
240	0.1894793288
241	0.1892004779
242	0.1887036469
243	0.1886067937
244	0.1882194534
245	0.1881122098
246	0.187745988
247	0.1873020857
248	0.1869855954
249	0.1862901608
250	0.1861038967
251	0.1860468282
252	0.1857879399
253	0.1856745672
254	0.1851176066
255	0.1850393605
256	0.1843748553
257	0.1835821168
258	0.1835086913
259	0.1830053684
260	0.1824434313
261	0.1819009612
262	0.1811727386
263	0.1810390396
264	0.1809585476
265	0.1807283133
266	0.1806747897
267	0.1799814603
268	0.1794158682
269	0.1789112175
270	0.1784362025
271	0.1783494687
272	0.1777689856
273	0.1770373901
274	0.1769613675
275	0.1766740164
276	0.1757570247
277	0.1750076136
278	0.1748824354
279	0.1745001128
280	0.174031468
281	0.1736866868
282	0.1735991694
283	0.1729559104
284	0.1724502314
285	0.172122651
286	0.1720551125
287	0.1715793519
288	0.1713992897
289	0.1712126158
290	0.1710577993
291	0.1707609069
292	0.1703919177
293	0.1701751878
294	0.1700000397
295	0.1699145242
296	0.1697714923
297	0.1694184325
298	0.1693653172
299	0.1692732473
