iter	Passed	Remaining
0	1	467
1	2	339
2	2	296
3	3	262
4	4	246
5	4	234
6	5	226
7	6	219
8	6	214
9	7	210
10	7	206
11	8	202
12	9	202
13	9	201
14	10	198
15	11	197
16	11	196
17	12	193
18	13	192
19	13	192
20	14	191
21	15	189
22	15	188
23	16	186
24	16	186
25	17	186
26	18	185
27	18	184
28	19	183
29	20	182
30	20	181
31	21	180
32	22	179
33	22	179
34	23	177
35	24	176
36	24	175
37	25	174
38	26	174
39	27	178
40	28	177
41	28	176
42	29	175
43	30	174
44	30	173
45	31	172
46	31	171
47	32	170
48	33	169
49	33	169
50	34	168
51	35	167
52	35	167
53	36	166
54	37	166
55	38	165
56	38	165
57	39	164
58	39	163
59	40	162
60	41	161
61	42	161
62	42	161
63	43	160
64	44	159
65	44	158
66	45	158
67	46	157
68	46	156
69	47	156
70	48	155
71	48	154
72	49	153
73	50	153
74	51	153
75	51	152
76	52	151
77	52	150
78	53	149
79	54	148
80	54	147
81	55	147
82	55	146
83	56	145
84	57	144
85	58	144
86	58	143
87	59	143
88	60	142
89	60	142
90	61	141
91	62	140
92	62	140
93	63	139
94	64	138
95	65	138
96	66	139
97	68	140
98	68	139
99	69	138
100	70	137
101	70	137
102	71	136
103	71	135
104	72	134
105	73	134
106	73	133
107	74	132
108	75	131
109	76	131
110	76	130
111	77	130
112	78	129
113	78	128
114	79	127
115	80	127
116	80	126
117	81	125
118	82	124
119	82	124
120	83	123
121	84	122
122	84	122
123	85	121
124	86	120
125	86	119
126	87	119
127	87	118
128	88	117
129	89	116
130	89	115
131	90	115
132	91	114
133	91	113
134	92	113
135	93	112
136	93	111
137	94	110
138	95	110
139	95	109
140	96	108
141	96	107
142	97	107
143	98	106
144	98	105
145	99	104
146	100	104
147	100	103
148	101	102
149	101	101
150	102	101
151	103	100
152	103	99
153	104	98
154	105	98
155	105	97
156	106	96
157	107	96
158	107	95
159	108	94
160	108	94
161	109	93
162	110	92
163	110	91
164	111	91
165	112	90
166	112	89
167	113	89
168	114	88
169	114	87
170	115	87
171	116	86
172	116	85
173	117	85
174	118	84
175	118	83
176	119	83
177	120	82
178	121	82
179	122	81
180	122	80
181	123	80
182	124	79
183	125	78
184	125	78
185	126	77
186	127	76
187	127	76
188	128	75
189	128	74
190	129	73
191	130	73
192	130	72
193	131	71
194	132	71
195	133	70
196	133	69
197	134	69
198	135	68
199	135	67
200	136	67
201	137	66
202	137	65
203	138	65
204	138	64
205	139	63
206	140	63
207	141	62
208	141	61
209	142	61
210	143	60
211	143	59
212	144	58
213	145	58
214	145	57
215	146	56
216	146	56
217	147	55
218	148	54
219	149	54
220	149	53
221	150	52
222	151	52
223	152	51
224	153	51
225	153	50
226	154	49
227	155	49
228	155	48
229	156	47
230	157	46
231	157	46
232	158	45
233	159	44
234	159	44
235	160	43
236	161	42
237	161	42
238	162	41
239	163	40
240	163	40
241	164	39
242	165	38
243	165	38
244	166	37
245	167	36
246	167	35
247	168	35
248	168	34
249	169	33
250	170	33
251	170	32
252	171	31
253	172	31
254	172	30
255	173	29
256	174	29
257	174	28
258	175	27
259	176	27
260	176	26
261	177	25
262	178	25
263	178	24
264	179	23
265	180	23
266	180	22
267	181	21
268	182	20
269	182	20
270	183	19
271	183	18
272	185	18
273	185	17
274	186	16
275	187	16
276	187	15
277	188	14
278	189	14
279	189	13
280	190	12
281	191	12
282	191	11
283	192	10
284	192	10
285	193	9
286	194	8
287	194	8
288	195	7
289	196	6
290	196	6
291	197	5
292	198	4
293	198	4
294	199	3
295	200	2
296	200	2
297	201	1
298	202	0
299	202	0
